Grapes,3.0,9.0,15.0,21.0,26.0,32.0,38.0,44.0,
Orange,4.0,10.0,16.0,656.0,27.0,33.0,39.0,45.0,
Orange,4.0,10.0,16.0,656.0,27.0,33.0,39.0,45.0,
Cake,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,
Cake1,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Grapes,3.0,9.0,15.0,21.0,26.0,32.0,38.0,44.0,
Bananas,12323.0,8.0,14.0,20.0,25.0,31.0,37.0,43.0,
Bananas,12323.0,8.0,14.0,20.0,25.0,31.0,37.0,43.0,
Grapes,3.0,9.0,15.0,21.0,26.0,32.0,38.0,44.0,
Grapes,3.0,9.0,15.0,21.0,26.0,32.0,38.0,44.0,
testing,1.0,1.0,1.0,1.0,1.0,11.0,40.0,1.0,
Orange,4.0,10.0,16.0,656.0,27.0,33.0,39.0,45.0,
Mango,5.0,11.0,17.0,23.0,28.0,34.0,40.0,46.0,
Mango,5.0,11.0,17.0,23.0,28.0,34.0,40.0,46.0,
