18.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.2,6.0
19.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
20.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
21.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
22.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
23.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
24.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
25.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
26.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
27.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
28.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
29.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
30.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
31.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
32.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
33.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
34.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
35.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
36.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
37.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
38.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
39.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
40.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
41.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
42.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
43.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
44.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
45.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
46.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
47.0,2500.0,97.0,31.0,333.0,33.0,30.0,55.5,6.0
